,Country,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2010_Users,2011_Users,2012_Users,2013_Users,2014_Users,2015_Users,2016_Users,2017_Users,2018_Users,2019_Users,2020_Users
51,Ethiopia,29933790334.0,31952763089.0,43310721414.0,47648211133.0,55612228234.0,64589334979.0,74296618481.0,81770791971.0,84269348327.0,95912590628.0,107658000000.0,0.75,1.100000024,2.900000095,4.599999905,7.699999809,13.85517597,15.36692429,18.61805153,20.0,22.0,24.0
52,European Union,14557600000000.0,15759500000000.0,14636200000000.0,15299700000000.0,15652100000000.0,13551900000000.0,13893200000000.0,14766300000000.0,15978700000000.0,15691900000000.0,15300100000000.0,68.69564056,69.66178131,71.85745239,73.61036682,75.1855011,75.65441895,76.89717865,78.683815,81.7383728,83.84421539,84.74347687
53,Finland,249424000000.0,275604000000.0,258290000000.0,271362000000.0,274863000000.0,234534000000.0,240771000000.0,255648000000.0,275715000000.0,268508000000.0,271837000000.0,86.88999939,88.70999146,89.87999725,91.51439667,86.53039551,86.4221344,87.70365143,87.46892548,88.88996124,89.60738373,92.16999817
54,Fiji,3140508836.0,3774530616.0,3972012571.0,4190143206.0,4856963230.0,4682546863.0,4930204230.0,5353404422.0,5581371850.0,5496264766.0,4574413823.0,20.0,28.0,33.74235535,35.20000076,37.40000153,42.5,49.41999817,65.77999878,68.90000153,,
55,France,2645190000000.0,2865160000000.0,2683670000000.0,2811880000000.0,2855960000000.0,2439190000000.0,2472960000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2630320000000.0,77.27999878,77.81999969,81.44000244,81.9197998,83.75,78.00603485,79.26981354,80.50245667,82.04319,83.33974457,84.80000305
56,Gabon,14372591916.0,18210308748.0,17170465294.0,17595745653.0,18203968002.0,14383107714.0,14023890620.0,14929488771.0,16867325127.0,16874405840.0,15316824039.0,13.0,18.0,24.0,30.53803253,38.07120895,45.78453827,48.0522728,50.32012177,59.59999847,61.0,62.0
57,United Kingdom,2491110000000.0,2674890000000.0,2719160000000.0,2803290000000.0,3087170000000.0,2956570000000.0,2722850000000.0,2699020000000.0,2900790000000.0,2878670000000.0,2756900000000.0,85.0,85.37999725,87.47999573,89.84410095,91.61000061,92.00029755,94.77580261,90.42455292,90.69200897,92.51663208,94.81819916
58,Georgia,12243505583.0,15107441447.0,16488403076.0,17189551521.0,17627003455.0,14953950557.0,15141758567.0,16242916916.0,17596922470.0,17470436259.0,15842922533.0,26.89999962,31.52000046,36.93999863,43.29999924,44.0,47.56975937,58.45928955,59.70550537,62.71790695,68.84670258,72.53158569
59,Ghana,32197272797.0,39337314810.0,41270954737.0,62823043706.0,54782847753.0,49406568433.0,56165172899.0,60406382899.0,67299280680.0,68337537816.0,70043199814.0,7.800000191,9.0,10.60000038,15.0,19.0,23.0,28.0,37.88415146,43.0,53.0,58.0
60,Guinea,6853467858.0,6785137173.0,7638045254.0,8376613843.0,8778473615.0,8794202444.0,8595955581.0,10324668267.0,11857030337.0,13442861444.0,14169626010.0,1.0,2.0,3.099999905,4.5,6.400000095,9.199999809,13.10000038,18.70000076,21.83002281,23.0,26.0
