Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Libya,14,14,15.19999981,16.5,17.76000023,,,,,,
Liechtenstein,80,85,89.40769958,93.80000305,95.20999908,96.6411972,98.09390259,99.5466156,,,
Lithuania,62.11999893,63.6399765,67.2299881,68.45290375,72.12999725,71.37805939,74.37664795,77.61525726,79.72257996,81.58187103,83.05554962
Low and middle income,20.13169098,23.01870918,25.52278328,27.64858627,30.04125977,32.67803955,35.39263153,38.15324402,42.06842041,47.28250885,54.17268372
Low income,3.336564064,3.795007467,4.610525131,5.386800766,7.023654938,9.158151627,11.10052586,13.80006218,16.28896904,18.17598152,20.61533356
Lower middle income,10.54971981,12.67747307,14.23622227,15.94791889,18.33751297,20.77431679,23.49909401,26.56108665,29.89668465,36.22880173,44.87673187
Luxembourg,90.62000275,90.02986145,91.94992065,93.77649689,94.66999817,96.37671661,98.13669586,97.36296082,97.06130219,97.12063599,98.82242584
Macao,55.19800186,60.2036972,61.31000137,65.80000305,69.77999878,77.60012817,81.64298248,83.17408752,83.79409027,86.46792603,88.09999847
Madagascar,1.700000048,1.899999976,2.299999952,3,3.700000048,4.17397213,4.713663101,9.800000191,15,,
Malawi,2.25999999,3.329999924,4.350599766,5.050000191,5.829999924,6,6.300000191,7,8,9.899999619,
Malaysia,56.29999924,61,65.80000305,57.05751038,63.66542435,71.06406403,78.78830719,80.14048004,81.2010498,84.18714142,89.55501556
Maldives,26.53000069,34,38.93009949,44.09999847,49.27999878,54.46195602,59.09259033,61.25,62.06999969,62.5,62.93000031
Mali,2,2.200000048,2.799999952,3.5,7,10.32999992,14,18.89999962,21.39999962,24.20000076,27.39999962
Malta,63,68.01982117,68.19987488,68.9138031,73.16999817,75.96002197,78.07514954,81.01190948,81.65804291,85.77856445,86.85876465
Marshall Islands,7,10,12.5,14,16.79999924,19.28244209,29.78777885,38.70116425,,,
Mauritania,4,4.5,5,6.199999809,11.80000019,17.60000038,24.10000038,24.20000076,35.09999847,36.70000076,40.79999924
Mauritius,28.32999992,34.95000076,35.41999817,40.1168251,44.80327606,50.13932037,52.19132614,55.4032402,58.59616852,61.72995377,64.88490295
Mexico,31.04999924,37.17629623,39.75,43.45999908,44.38999939,57.43104172,59.54044724,63.85224915,65.77263641,70.06990814,71.96819305
Micronesia (country),20,22.79999924,25.97442245,27.79999924,29.64999962,31.50108147,33.35216141,35.30405426,,,
Middle East and North Africa,25.03272629,28.00577545,31.54395485,35.515625,40.41354752,44.84419632,50.28753662,56.63393021,61.4442749,69.28152466,77.83233643
Middle income,21.59939384,24.76813698,27.45270538,29.77399635,32.15723419,34.87554932,37.86980057,40.67497253,44.49394226,49.93650818,57.21282196
Moldova,32.29999924,38,43.36999893,60,67,69.00000763,71,76.12451935,,,
Monaco,75,80.30000305,87,90.69999695,92.40000153,93.36330414,95.20817566,97.05297852,,,
Mongolia,10.19999981,12.49999142,16.39999962,17.6999836,19.94244766,22.50000381,22.26576996,23.71426582,47.13000107,51.0799942,62.5000267
Montenegro,37.5,35.61154175,56.83878326,60.31000137,61,68.11978912,69.8816452,71.27233124,71.51709747,73.47666931,77.60879517
Morocco,52,46.10748291,55.41605377,56,56.79999924,57.07999802,58.27123642,61.76221085,64.80386353,74.37631226,84.12036133
Mozambique,4.170000076,4.599999905,5,5.5,6,6.5,7,7.800000191,10.89999962,15.10000038,16.5
Myanmar,0.25,0.9800000191,1.399999976,1.799999952,7.400000095,10.89999962,16,23.62108231,28.70000076,34.90000153,35.09999847
Namibia,11.60000038,12,12.94139957,13.89999962,14.84000015,25.68785095,31.03334618,36.83740616,40,40.5,41
Nauru,,54,,,,,,62.38512421,,,
Nepal,7.929999828,9,11.14929962,13.30000019,15.43999958,17.58161736,20.70000076,24.29999924,28.60000038,32.79999924,37.70000076
Netherlands,90.72000122,91.41999817,92.85999298,93.95639801,91.66666412,91.72413635,90.41095734,93.19728088,91.89189148,93.28858948,91.33333588
New Caledonia,42,50,58,66,70,74.00175476,,82.00584412,,,
