Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gabon,14372591916.00,18210308748.00,17170465294.00,17595745653.00,18203968002.00,14383107714.00,14023890620.00,14929488771.00,16867325127.00,16874405840.00,15316824039.00
United Kingdom,2491110000000.00,2674890000000.00,2719160000000.00,2803290000000.00,3087170000000.00,2956570000000.00,2722850000000.00,2699020000000.00,2900790000000.00,2878670000000.00,2756900000000.00
Georgia,12243505583.00,15107441447.00,16488403076.00,17189551521.00,17627003455.00,14953950557.00,15141758567.00,16242916916.00,17596922470.00,17470436259.00,15842922533.00
Ghana,32197272797.00,39337314810.00,41270954737.00,62823043706.00,54782847753.00,49406568433.00,56165172899.00,60406382899.00,67299280680.00,68337537816.00,70043199814.00
Gibraltar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Guinea,6853467858.00,6785137173.00,7638045254.00,8376613843.00,8778473615.00,8794202444.00,8595955581.00,10324668267.00,11857030337.00,13442861444.00,14169626010.00
"Gambia, The",1543292393.00,1409694554.00,1415006238.00,1375608956.00,1229460602.00,1378176868.00,1484579844.00,1504909753.00,1670670669.00,1813608280.00,1830413000.00
Guinea-Bissau,849878424.20,1099818652.00,989271229.60,1046087418.00,1054915645.00,1048229629.00,1179004941.00,1350177128.00,1504630121.00,1439638443.00,1431758243.00
Equatorial Guinea,16314442183.00,21357344847.00,22388345810.00,21948835350.00,21765454404.00,13185496836.00,11240809132.00,12200912828.00,13097011208.00,11364134109.00,10099157270.00
Greece,297125000000.00,282996000000.00,242029000000.00,238908000000.00,235458000000.00,195684000000.00,193148000000.00,199844000000.00,212049000000.00,205144000000.00,188835000000.00
Grenada,771013259.30,778655925.90,799882259.30,842620111.10,911497407.40,997007925.90,1061640741.00,1125685185.00,1166523556.00,1213485185.00,1043411111.00
Greenland,2503156061.00,2684467376.00,2609667674.00,2684952727.00,2842048998.00,2499115623.00,2707146783.00,2851610656.00,3055791341.00,2994332324.00,3075968329.00
