Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sudan,74151186600,78403418360,63195499524,66026600235,76818327442,84985132167,102944000000,129718000000,32333780383,32338079165,26987563444
Senegal,16121314671,17814284622,17660871726,18918668644,19797254643,17774766636,19040312815,20996564752,23116897847,23398811424,24493157583
Singapore,239809000000,279351000000,295087000000,307576000000,314851000000,308004000000,318832000000,343193000000,376998000000,375473000000,345296000000
Solomon Islands,846767635.9,1049889692,1191045573,1284763287,1335584912,1307082934,1378543909,1483793468,1574622018,1570093229,1545888426
Sierra Leone,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3674794530,3719369107,4085114794,4076578543,4063289450
El Salvador,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26896660000,24638720000
San Marino,1881214371,1813752784,1604779648,1678841812,1673973695,1419394763,1468377242,1528630705,1655300897,1616231696,1544713785
Serbia,41819468692,49258136129,43309252921,48394239475,47062206678,39655958843,40692643373,44179055280,50640650221,51514222382,53335016425
Sub-Saharan Africa (excluding high income),1450780000000,1634000000000,1699340000000,1803400000000,1867280000000,1683570000000,1571410000000,1702820000000,1731080000000,1790390000000,1704890000000
Sub-Saharan Africa,1451750000000,1635060000000,1700400000000,1804730000000,1868670000000,1684990000000,1572900000000,1704400000000,1732710000000,1792080000000,1706090000000
Small states,393630000000,474409000000,494531000000,514310000000,530131000000,452543000000,444842000000,481182000000,528084000000,520431000000,452016000000
Sao Tome and Principe,196652514.3,231489270.1,250680845.7,300554483.6,346528329.2,316066072.3,345495615,375614126.2,412253809.7,427425039.7,472914469.9
Suriname,4368398048,4422276622,4980000000,5145757576,5240606061,5126291451,3317438911,3591623596,3996247906,3984483762,2884248048
Slovak Republic,90801178162,99492917849,94253181330,98569320343,101089000000,88636928905,89674927723,95393515078,105613000000,105284000000,105173000000
Slovenia,48208240226,51583869785,46577793184,48415657265,49997186439,43107506024,44766722791,48589100043,54163591695,54178877606,53589609581
Sweden,495813000000,574094000000,552484000000,586842000000,581964000000,505104000000,515655000000,541019000000,555455000000,533880000000,541487000000
Eswatini,4438778424,4820499924,4886533033,4597532030,4422968340,4063245671,3816022047,4402969226,4666784618,4466066557,3984840580
